,sell_type,car_type,year,traction,price,km,range,max_vel,zero_hundred
108,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.360 €,,430,217,"6,9"
109,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.860 €,,455,217,"6,9"
110,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.860 €,,455,217,"6,9"
111,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.910 €,Cuentakilómetros con 1011 km,455,217,"6,9"
112,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,47.080 €,Cuentakilómetros con 3765 km,600,217,"5,9"
113,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,47.140 €,Cuentakilómetros con 1920 km,565,217,"5,9"
114,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.410 €,,430,217,"6,9"
115,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.460 €,Cuentakilómetros con 176 km,430,217,"6,9"
116,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.660 €,,430,217,"6,9"
117,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.660 €,,430,217,"6,9"
118,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.710 €,,430,217,"6,9"
119,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.710 €,,430,217,"6,9"
120,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,47.810 €,,600,217,"5,9"
121,Nuevo,Model Y,Model Y,Model Y Tracción trasera,47.850 €,Cuentakilómetros con 7 km,430,217,"6,9"
122,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,47.970 €,Cuentakilómetros con 10.571 km,533,217,5
123,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,48.100 €,Cuentakilómetros con 7461 km,533,217,5
124,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,48.180 €,Cuentakilómetros con 7085 km,533,217,5
125,Nuevo,Model Y,Model Y,Model Y Tracción trasera,48.210 €,,455,217,"6,9"
126,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,48.290 €,Cuentakilómetros con 9230 km,533,217,5
127,Nuevo,Model Y,Model Y,Gran autonomía con tracción integral,48.460 €,Cuentakilómetros con 10.749 km,533,217,5
