,sell_type,car_type,year,color,country,traction,price,km,range,max_vel,zero_hundred
41,Nuevo,Model 3,2024,GREY,spain,Gran autonomía con tracción integral,48.120 €,0,629.0,201.0,"4,4"
42,Nuevo,Model 3,2024,GREY,spain,Gran autonomía con tracción integral,48.370 €,0,629.0,201.0,"4,4"
43,Nuevo,Model 3,2024,GREY,spain,Gran autonomía con tracción integral,49.420 €,0,629.0,201.0,"4,4"
44,Nuevo,Model 3,2024,GREY,spain,Performance con tracción a las cuatro ruedas,54.860 €,Cuentakilómetros con 3325 km,528.0,262.0,"3,1"
45,Nuevo,Model 3,2024,GREY,spain,Performance con tracción a las cuatro ruedas,55.950 €,Cuentakilómetros con 13 km,528.0,262.0,"3,1"
46,Nuevo,Model 3,2024,GREY,spain,Performance con tracción a las cuatro ruedas,60.820 €,0,528.0,262.0,"3,1"
47,Nuevo,Model 3,2024,SILVER,spain,Model 3 Tracción trasera,36.990 €,Cuentakilómetros con 6018 km,513.0,201.0,"6,1"
48,Nuevo,Model 3,2024,SILVER,spain,Model 3 Tracción trasera,38.080 €,Cuentakilómetros con 39 km,513.0,201.0,"6,1"
49,Nuevo,Model 3,2024,SILVER,spain,Model 3 Tracción trasera,38.470 €,0,513.0,201.0,"6,1"
50,Nuevo,Model 3,2024,SILVER,spain,Gran autonomía con tracción integral,43.730 €,Cuentakilómetros con 7566 km,629.0,201.0,"4,4"
51,Nuevo,Model 3,2024,SILVER,spain,Gran autonomía con tracción integral,43.920 €,Cuentakilómetros con 6630 km,629.0,201.0,"4,4"
52,Nuevo,Model 3,2024,SILVER,spain,Gran autonomía con tracción integral,45.280 €,Cuentakilómetros con 1202 km,629.0,201.0,"4,4"
53,Nuevo,Model 3,2024,SILVER,spain,Gran autonomía con tracción integral,45.650 €,Cuentakilómetros con 0 km,629.0,201.0,"4,4"
54,Nuevo,Model 3,2024,SILVER,spain,Gran autonomía con tracción integral,45.890 €,Cuentakilómetros con 4446 km,629.0,201.0,"4,4"
