,sell_type,car_type,year,price,km
426,Nuevo,Model 3,2024,43180.0,0.0
427,Nuevo,Model 3,2024,43280.0,12.0
428,Nuevo,Model 3,2024,43340.0,0.0
429,Nuevo,Model 3,2024,43340.0,0.0
430,Nuevo,Model 3,2024,45790.0,0.0
431,Nuevo,Model 3,2024,45790.0,0.0
432,Nuevo,Model 3,2024,50410.0,13.0
433,Nuevo,Model 3,2024,51520.0,70.0
434,Nuevo,Model 3,2024,51560.0,0.0
435,Nuevo,Model 3,2024,51990.0,0.0
436,Nuevo,Model 3,2024,52580.0,15.0
437,Nuevo,Model 3,2024,52700.0,14.0
438,Nuevo,Model 3,2024,53000.0,12.0
439,Nuevo,Model 3,2024,53180.0,0.0
440,Nuevo,Model 3,2024,53180.0,0.0
441,Nuevo,Model 3,2024,53880.0,15.0
442,Nuevo,Model 3,2024,55720.0,0.0
443,Nuevo,Model 3,2024,59490.0,0.0
444,Nuevo,Model 3,2024,64480.0,0.0
445,Nuevo,Model X,2024,103390.0,0.0
446,Nuevo,Model X,2024,117090.0,0.0
447,Nuevo,Model X,2024,120890.0,0.0
448,Nuevo,Model X,2024,102580.0,17.0
449,Nuevo,Model X,2024,108190.0,0.0
450,Nuevo,Model X,2024,109390.0,0.0
451,Nuevo,Model X,2024,115290.0,0.0
452,Nuevo,Model X,2024,118690.0,0.0
453,Nuevo,Model X,2024,119290.0,0.0
454,Nuevo,Model X,2024,112810.0,401.0
455,Nuevo,Model X,2024,118690.0,60.0
456,Nuevo,Model X,2024,124890.0,0.0
457,Nuevo,Model X,2024,109290.0,86.0
458,Nuevo,Model X,2024,112790.0,0.0
459,Nuevo,Model X,2024,117590.0,0.0
460,Nuevo,Model X,2024,126890.0,0.0
461,Nuevo,Model X,2024,119990.0,0.0
462,Nuevo,Model X,2024,108980.0,26.0
463,Nuevo,Model X,2024,113290.0,197.0
464,Nuevo,Model X,2024,133390.0,0.0
465,Nuevo,Model Y,2024,39620.0,5.0
466,Nuevo,Model Y,2024,40990.0,50.0
467,Nuevo,Model Y,2024,40990.0,0.0
468,Nuevo,Model Y,2024,40990.0,226.0
469,Nuevo,Model Y,2024,42180.0,0.0
470,Nuevo,Model Y,2024,42340.0,0.0
471,Nuevo,Model Y,2024,43090.0,0.0
472,Nuevo,Model Y,2024,43090.0,0.0
473,Nuevo,Model Y,2024,44280.0,0.0
474,Nuevo,Model Y,2024,46990.0,0.0
475,Nuevo,Model Y,2024,47800.0,5.0
476,Nuevo,Model Y,2024,47990.0,0.0
477,Nuevo,Model Y,2024,47990.0,0.0
478,Nuevo,Model Y,2024,48180.0,0.0
479,Nuevo,Model Y,2024,49180.0,0.0
480,Nuevo,Model Y,2024,49180.0,0.0
481,Nuevo,Model Y,2024,49180.0,0.0
482,Nuevo,Model Y,2024,49340.0,0.0
483,Nuevo,Model Y,2024,49340.0,0.0
484,Nuevo,Model Y,2024,50090.0,0.0
485,Nuevo,Model Y,2024,50530.0,0.0
486,Nuevo,Model Y,2024,50790.0,0.0
487,Nuevo,Model Y,2024,51260.0,0.0
488,Nuevo,Model Y,2024,51280.0,0.0
489,Nuevo,Model Y,2024,51440.0,0.0
490,Nuevo,Model Y,2024,52590.0,9.0
491,Nuevo,Model Y,2024,52630.0,0.0
492,Nuevo,Model Y,2024,53330.0,0.0
493,Nuevo,Model Y,2024,53990.0,0.0
494,Nuevo,Model Y,2024,54330.0,15.0
495,Nuevo,Model Y,2024,55180.0,0.0
496,Nuevo,Model Y,2024,55180.0,0.0
497,Nuevo,Model Y,2024,55340.0,0.0
498,Nuevo,Model Y,2024,57790.0,0.0
499,Nuevo,Model Y,2024,59140.0,0.0
500,Nuevo,Model Y,2024,42290.0,0.0
501,Nuevo,Model Y,2024,42290.0,0.0
502,Nuevo,Model Y,2024,43480.0,0.0
503,Nuevo,Model Y,2024,43640.0,0.0
504,Nuevo,Model Y,2024,43640.0,0.0
505,Nuevo,Model Y,2024,44390.0,0.0
506,Nuevo,Model Y,2024,44390.0,0.0
507,Nuevo,Model Y,2024,47830.0,59.0
508,Nuevo,Model Y,2024,49290.0,0.0
509,Nuevo,Model Y,2024,49290.0,0.0
510,Nuevo,Model Y,2024,49290.0,0.0
511,Nuevo,Model Y,2024,49290.0,145.0
512,Nuevo,Model Y,2024,50480.0,0.0
513,Nuevo,Model Y,2024,50640.0,0.0
514,Nuevo,Model Y,2024,51390.0,0.0
515,Nuevo,Model Y,2024,51390.0,0.0
516,Nuevo,Model Y,2024,51830.0,0.0
517,Nuevo,Model Y,2024,52580.0,0.0
518,Nuevo,Model Y,2024,52740.0,0.0
519,Nuevo,Model Y,2024,53090.0,0.0
520,Nuevo,Model Y,2024,53090.0,0.0
521,Nuevo,Model Y,2024,53290.0,0.0
522,Nuevo,Model Y,2024,54280.0,0.0
523,Nuevo,Model Y,2024,54440.0,0.0
524,Nuevo,Model Y,2024,54640.0,0.0
525,Nuevo,Model Y,2024,55290.0,0.0
526,Nuevo,Model Y,2024,55290.0,0.0
527,Nuevo,Model Y,2024,55390.0,0.0
528,Nuevo,Model Y,2024,56480.0,0.0
529,Nuevo,Model Y,2024,56480.0,0.0
530,Nuevo,Model Y,2024,56640.0,0.0
531,Nuevo,Model Y,2024,56640.0,0.0
532,Nuevo,Model Y,2024,60280.0,0.0
533,Nuevo,Model Y,2024,49290.0,0.0
534,Nuevo,Model Y,2024,50640.0,0.0
535,Nuevo,Model Y,2024,51390.0,0.0
536,Nuevo,Model Y,2024,51390.0,0.0
537,Nuevo,Model Y,2024,55290.0,0.0
538,Nuevo,Model Y,2024,56640.0,0.0
539,Nuevo,Model Y,2024,57830.0,0.0
540,Nuevo,Model Y,2024,43590.0,0.0
541,Nuevo,Model Y,2024,46880.0,0.0
542,Nuevo,Model Y,2024,49590.0,0.0
543,Nuevo,Model Y,2024,50590.0,0.0
544,Nuevo,Model Y,2024,51780.0,0.0
545,Nuevo,Model Y,2024,52690.0,0.0
546,Nuevo,Model Y,2024,54040.0,0.0
547,Nuevo,Model Y,2024,54700.0,115.0
548,Nuevo,Model Y,2024,55930.0,59.0
549,Nuevo,Model Y,2024,56590.0,0.0
550,Nuevo,Model Y,2024,57780.0,0.0
551,Nuevo,Model Y,2024,57940.0,0.0
552,Nuevo,Model Y,2024,60390.0,0.0
553,Nuevo,Model Y,2024,61740.0,0.0
