,car_type,year,price,km
226,TESLA - MODEL S 75D 4WD,2018,38.990 €,143.350 kms
227,TESLA - MODEL 3,2021,28.970 €,87.523 kms
228,TESLA - MODEL 3,2019,26.490 €,81.803 kms
229,TESLA MODEL 3,2021,35.800 €,34.737 kms
230,TESLA - MODEL S 100D 4WD,2019,32.990 €,162.000 kms
231,TESLA - MODEL S GRAN AUTONOMIA 4WD,2020,40.500 €,97.250 kms
232,TESLA - MODEL S GRAN AUTONOMIA 4WD,2019,42.890 €,89.500 kms
233,TESLA - MODEL 3,2019,25.999 €,70.000 kms
234,TESLA - MODEL S P100D 4WD,2017,59.900 €,56.000 kms
235,TESLA - MODEL 3,2022,29.790 €,57.671 kms
236,TESLA - MODEL S GRAN AUTONOMIA 4WD,2019,45.990 €,78.000 kms
237,TESLA - MODEL S P100D 4WD,2017,45.990 €,49.000 kms
238,TESLA - MODEL X P100D 4WD,2018,41.990 €,89.000 kms
239,TESLA - MODEL 3,2020,37.890 €,74.862 kms
240,TESLA - MODEL S P100D 4WD,2017,29.990 €,159.000 kms
241,TESLA - MODEL S AUTONOMIA ESTANDAR 4WD,2014,21.990 €,233.000 kms
242,TESLA MODEL 3,2019,23.000 €,92.000 kms
243,TESLA - MODEL S 75D 4WD,2018,26.900 €,149.000 kms
244,TESLA MODEL 3,2021,34.900 €,68.500 kms
245,TESLA - MODEL 3,2020,27.300 €,73.259 kms
246,TESLA - MODEL X GRAN AUTONOMIA PLUS 4WD,2021,54.900 €,58.000 kms
247,TESLA - MODEL S 75D 4WD,2018,34.610 €,96.553 kms
248,TESLA - MODEL 3,2020,26.490 €,49.990 kms
249,TESLA MODEL 3,2021,29.000 €,100.000 kms
250,TESLA - MODEL 3,2021,34.500 €,44.974 kms
251,TESLA - MODEL 3,2020,21.500 €,128.084 kms
252,TESLA - MODEL 3,2019,20.490 €,129.900 kms
253,TESLA - MODEL Y,2023,49.995 €,25.700 kms
254,TESLA - MODEL X 90D 4WD,2017,39.990 €,50.000 kms
255,TESLA - MODEL X 90D 4WD,2017,44.990 €,139.000 kms
256,TESLA - MODEL S,2016,24.000 €,201.000 kms
257,TESLA - MODEL 3,2022,33.850 €,48.000 kms
258,TESLA - MODEL 3,2022,33.850 €,48.000 kms
259,TESLA - MODEL Y,2024,36.500 €,10.778 kms
260,TESLA - MODEL 3,2020,25.000 €,110.000 kms
261,TESLA - MODEL S 90D 4WD,2017,24.900 €,184.000 kms
262,TESLA - MODEL S 75D 4WD,2018,29.900 €,110.000 kms
263,TESLA MODEL 3,2019,23.950 €,119.000 kms
264,TESLA - MODEL 3,2019,24.990 €,116.000 kms
265,TESLA - MODEL 3,2020,32.890 €,65.090 kms
266,TESLA - MODEL S 75D 4WD,2017,26.995 €,70.000 kms
267,TESLA - MODEL 3,2020,26.890 €,38.000 kms
268,TESLA MODEL 3,2023,31.950 €,17.500 kms
269,TESLA - MODEL S 75D 4WD,2018,30.995 €,61.000 kms
270,TESLA - MODEL 3,2019,23.990 €,97.500 kms
271,TESLA - MODEL Y,2024,36.500 €,10.778 kms
272,TESLA - MODEL Y,2024,46.990 €,7.925 kms
273,TESLA - MODEL Y,2022,41.900 €,51.900 kms
274,TESLA - MODEL S LUDICROUS PERFORMANCE 4WD,2020,50.950 €,59.999 kms
275,TESLA - MODEL 3,2023,32.990 €,29.000 kms
276,TESLA - MODEL S AUTONOMIA ESTANDAR 4WD,2019,32.900 €,120.000 kms
277,TESLA - MODEL 3,2019,27.500 €,39.000 kms
278,TESLA - MODEL S,2018,28.900 €,179.000 kms
279,TESLA MODEL 3,2019,27.000 €,127.150 kms
280,TESLA - MODEL 3,2019,22.999 €,162.000 kms
281,TESLA - MODEL S 100D 4WD,2018,32.500 €,114.000 kms
282,TESLA - MODEL S 100D 4WD,2018,39.900 €,94.000 kms
283,TESLA - MODEL Y,2024,46.990 €,7.925 kms
284,TESLA - MODEL S P100D 4WD,2018,44.900 €,107.000 kms
285,TESLA - MODEL S LUDICROUS PERFORMANCE 4WD,2020,55.900 €,76.800 kms
