car_type,price,Ubicación,Tipo de vehículo,year,km,Link
TESLA Model 3 Gran Autonomia 4WD,33.999 €,Madrid,Eléctrico,2021,8000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-madrid-59505506-covo.aspx
TESLA Model S Autonomia Estandar 4WD,33.900 €,Valencia,Eléctrico,2020,142.000 km,/tesla-model-s-autonomia-estandar-4wd-5p-electrico-hibrido-2019-en-valencia-58650632-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,29.990 €,Ciudad Real,Eléctrico,2019,64.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-ciudad_real-58476564-covo.aspx
TESLA Model Y Traccion Trasera RWD,34.990 €,Madrid,Eléctrico,2022,28.400 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2021-en-madrid-59497696-covo.aspx
TESLA Model S P100D 4WD,45.000 €,Madrid,Eléctrico,2017,49.000 km,/tesla-model-s-p100d-4wd-5p-electrico-hibrido-2017-en-madrid-59450742-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,31.890 €,Madrid,Eléctrico,2021,98.226 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-madrid-58416562-covo.aspx
TESLA Model 3 Estandar Plus RWD,23.000 €,Girona,Eléctrico,2019,92.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-girona-59442567-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.990 €,Madrid,Eléctrico,2019,164.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59379791-covo.aspx
TESLA Model S Ludicrous Performance 4WD,49.990 €,Salamanca,Eléctrico,2020,94.000 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-hibrido-2020-en-salamanca-59302814-covo.aspx
TESLA Model 3 Performance AWD,26.900 €,Zaragoza,Eléctrico,2019,80.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-zaragoza-59522793-covo.aspx
TESLA Model S 100D 4WD,27.500 €,Barcelona,Eléctrico,2017,211.000 km,/tesla-model-s-100d-4wd-5p-electrico-hibrido-2017-en-barcelona-59273667-covo.aspx
TESLA Model 3 Gran Autonomia AWD,30.300 €,Madrid,Eléctrico,2021,83.862 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-madrid-59545987-covo.aspx
TESLA Model 3 Estandar Plus RWD,27.490 €,Madrid,Eléctrico,2020,27.277 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-madrid-59242852-covo.aspx
TESLA Model 3 Performance AWD,34.900 €,Madrid,Eléctrico,2021,68.500 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2021-en-madrid-59441621-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.990 €,Almería,Eléctrico,2022,60.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2022-en-almeria-59373203-covo.aspx
TESLA Model 3 RWD,32.900 €,Barcelona,Eléctrico,2023,29.000 km,/tesla-model-3-rwd-4p-electrico-hibrido-2023-en-barcelona-59215920-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,24.000 €,Madrid,Eléctrico,2019,137.183 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-58024995-covo.aspx
