,sell_type,car_type,year,color,country,traction,price,km,range,max_vel,zero_hundred
41,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,51.410 €,0,629,201,"4,4"
42,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,51.660 €,0,629,201,"4,4"
43,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,58.660 €,Cuentakilómetros con 6286 km,629,201,"4,4"
44,Nuevo,Model 3,2025,GREY,spain,Model 3 Tracción trasera,45.420 €,Cuentakilómetros con 12 km,513,201,"6,1"
45,Nuevo,Model 3,2025,GREY,spain,Gran autonomía con tracción integral,50.060 €,0,629,201,"4,4"
46,Nuevo,Model 3,2025,GREY,spain,Gran autonomía con tracción integral,50.060 €,0,629,201,"4,4"
47,Nuevo,Model 3,2025,GREY,spain,Gran autonomía con tracción integral,51.410 €,0,629,201,"4,4"
48,Nuevo,Model 3,2025,GREY,spain,Gran autonomía con tracción integral,51.660 €,0,629,201,"4,4"
49,Nuevo,Model 3,2025,GREY,spain,Performance con tracción a las cuatro ruedas,54.710 €,Cuentakilómetros con 3325 km,528,262,"3,1"
50,Nuevo,Model 3,2025,GREY,spain,Performance con tracción a las cuatro ruedas,55.800 €,Cuentakilómetros con 13 km,528,262,"3,1"
51,Nuevo,Model 3,2025,GREY,spain,Performance con tracción a las cuatro ruedas,60.820 €,0,528,262,"3,1"
52,Nuevo,Model 3,2025,SILVER,spain,Model 3 Tracción trasera,35.840 €,Cuentakilómetros con 3058 km,513,201,"6,1"
53,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,46.910 €,Cuentakilómetros con 7286 km,629,201,"4,4"
54,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,48.410 €,Cuentakilómetros con 1203 km,629,201,"4,4"
55,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,48.780 €,Cuentakilómetros con 0 km,629,201,"4,4"
56,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,50.090 €,Cuentakilómetros con 15 km,629,201,"4,4"
57,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,50.760 €,0,629,201,"4,4"
58,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,52.110 €,0,629,201,"4,4"
59,Nuevo,Model 3,2025,SILVER,spain,Gran autonomía con tracción integral,52.360 €,0,629,201,"4,4"
60,Nuevo,Model 3,2025,RED,spain,Model 3 Tracción trasera,38.470 €,0,513,201,"6,1"
61,Nuevo,Model 3,2025,RED,spain,Gran autonomía con tracción integral,47.520 €,Cuentakilómetros con 2050 km,629,201,"4,4"
62,Nuevo,Model 3,2025,RED,spain,Gran autonomía con tracción integral,50.760 €,0,629,201,"4,4"
63,Nuevo,Model 3,2025,RED,spain,Gran autonomía con tracción integral,51.810 €,0,629,201,"4,4"
64,Nuevo,Model 3,2025,RED,spain,Gran autonomía con tracción integral,52.110 €,0,629,201,"4,4"
65,Nuevo,Model 3,2025,RED,spain,Gran autonomía con tracción integral,52.110 €,0,629,201,"4,4"
