,year,km,range,max_vel,zero_hundred,high_range,performance,four_wheel_drive,rear_wheel_drive,sell_type_Nuevo,sell_type_Ocasion,car_type_Model 3,car_type_Model S,car_type_Model X,car_type_Model Y,color_BLACK,color_BLUE,color_CHERRY,color_GREY,color_RED,color_SILVER,color_WHITE,country_france,country_italy,country_portugal,country_spain,predicted_price,real_price
909,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,51900.62,52110.0
1171,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,54817.742,53175.0
1508,2025,0.0,455.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,48480.0,48940.0
57,2024,0.0,513.0,201.0,6.1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,38832.695,38470.0
1292,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,47273.44,46180.0
1150,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,53806.34,51975.0
945,2025,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,120957.71,117570.0
1250,2025,0.0,455.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,45383.203,46115.0
1202,2025,0.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,116460.24,113575.0
350,2024,21.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,41458.043,41160.0
1123,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,52324.51,52475.0
80,2024,23.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,107677.79,109540.0
813,2020,57.0,440.0,225.0,5.6,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,29681.52,31200.0
793,2023,23.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,36145.332,36400.0
1527,2023,27.0,600.0,322.0,2.1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,89037.4,86500.0
1070,2025,1013.0,600.0,217.0,5.9,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,49451.586,45500.0
1096,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,59433.727,56155.0
633,2024,0.0,528.0,262.0,3.1,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,59615.38,59775.0
1216,2025,0.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,53481.152,51515.0
200,2024,0.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,103749.84,103525.0
1121,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,48446.58,50175.0
587,2024,99.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,101105.19,103425.0
408,2024,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,114904.99,108190.0
1297,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,47273.44,47530.0
790,2023,10.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,36510.766,35700.0
201,2024,54.0,600.0,322.0,2.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,114951.54,121025.0
1166,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,50255.207,50875.0
736,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,53062.676,51575.0
852,2022,17.0,533.0,217.0,5.0,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,43007.516,44800.0
1622,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,51692.926,51175.0
1646,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,51403.58,52625.0
1331,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,42200.633,43830.0
1073,2025,8225.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,95003.89,94675.0
1624,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,51692.926,51675.0
